Age,Gender,Height,Weight,BMI,FitnessGoal,ActivityLevel,Budget,DietaryPreference,AvailableEquipment,HealthCondition,WorkoutCategory,MealCategory
33,Male,155,80,33.3,Maintenance,Active,Medium,Balanced,Gym,None,Intermediate-Gym,Balanced
25,Female,150,88,39.1,Weight Loss,Moderate,High,High-Protein,Basic,None,Cardio-Focus,Balanced
24,Other,155,61,25.4,Weight Loss,Light,Medium,Balanced,Basic,None,Beginner-Home,Low-Calorie
25,Male,187,93,26.6,Weight Loss,Active,Medium,Balanced,Bodyweight,Hypertension,Low-Impact,Balanced
19,Male,187,53,15.2,Maintenance,Moderate,High,Balanced,Bodyweight,Joint Pain,Low-Impact,Balanced
21,Male,173,83,27.7,Weight Loss,Very Active,High,Balanced,Bodyweight,Hypertension,Low-Impact,Balanced
19,Female,158,75,30.0,Weight Loss,Active,Low,Vegetarian,Gym,None,Cardio-Focus,Low-Calorie
25,Other,180,91,28.1,Maintenance,Active,Medium,Balanced,Basic,None,Beginner-Home,Balanced
39,Other,172,76,25.7,Weight Loss,Moderate,Medium,Balanced,Bodyweight,None,Cardio-Focus,Low-Calorie
42,Other,156,58,23.8,Muscle Gain,Moderate,Low,Balanced,Basic,Hypertension,Low-Impact,Balanced
28,Other,172,50,16.9,Weight Loss,Moderate,Medium,Vegetarian,Bodyweight,None,Cardio-Focus,Low-Calorie
20,Male,188,75,21.2,Muscle Gain,Moderate,Medium,Vegetarian,Basic,None,Strength-Focus,High-Protein
29,Female,184,72,21.3,Weight Loss,Sedentary,Medium,Balanced,Gym,None,Beginner-Home,Low-Calorie
39,Other,167,61,21.9,Muscle Gain,Active,Low,Vegetarian,Bodyweight,None,Intermediate-Gym,High-Protein
34,Male,151,72,31.6,Maintenance,Sedentary,Medium,Balanced,Gym,None,Intermediate-Gym,Balanced
26,Female,187,72,20.6,Weight Loss,Moderate,Medium,Vegetarian,Bodyweight,Hypertension,Low-Impact,Balanced
36,Male,186,92,26.6,Muscle Gain,Active,Medium,Balanced,Basic,None,Strength-Focus,High-Protein
19,Female,176,57,18.4,Maintenance,Light,Medium,Balanced,Bodyweight,None,Beginner-Home,Balanced
